Datetime,Electricity,Temperature,Relativehumidity,Windspeed,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,Month,d_1,d_2,d_3,d_4,d_5,d_6,d_7,Day,Month_Count,Day_Count_For_Week,Day_Count_For_Month,Hour
1/4/2016 0:00,1897,-1,68,11.2,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,0
1/4/2016 1:00,1837,-1.3,72,11.6,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,1
1/4/2016 2:00,1807,-1.7,76,12.3,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,2
1/4/2016 3:00,1800,-2.2,79,13.6,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,3
1/4/2016 4:00,1812,-2.6,80,13.5,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,4
1/4/2016 5:00,1862,-2.9,80,13.7,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,5
1/4/2016 6:00,1997,-3.3,80,9,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,6
1/4/2016 7:00,2204,-3.4,80,10.1,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,7
1/4/2016 8:00,2346,-3.7,81,10.4,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,8
1/4/2016 9:00,2355,-3.9,82,10,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,9
1/4/2016 10:00,2340,-3.6,81,11.5,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,10
1/4/2016 11:00,2334,-2.4,72,14.6,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,11
1/4/2016 12:00,2315,-1.3,59,15.5,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,12
1/4/2016 13:00,2325,-0.7,61,15.8,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,13
1/4/2016 14:00,2336,0,57,17.9,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,14
1/4/2016 15:00,2311,0.5,49,18.3,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,15
1/4/2016 16:00,2298,0.2,51,17.3,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,16
1/4/2016 17:00,2323,-0.3,54,16,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,17
1/4/2016 18:00,2432,-1.1,57,9.9,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,18
1/4/2016 19:00,2513,-2.2,58,10.7,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,19
1/4/2016 20:00,2502,-3.1,60,12.4,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,20
1/4/2016 21:00,2478,-4,63,13.5,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,21
1/4/2016 22:00,2418,-4.7,64,13.3,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,22
1/4/2016 23:00,2294,-5.1,62,13.4,0,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,4,23
1/5/2016 0:00,2185,-5.4,59,12.7,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,0
1/5/2016 1:00,2124,-5.6,58,12.5,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,1
1/5/2016 2:00,2090,-5.7,57,12.3,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,2
1/5/2016 3:00,2063,-6.5,61,11.6,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,3
1/5/2016 4:00,2086,-6.6,61,10.6,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,4
1/5/2016 5:00,2141,-6.7,62,9.7,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,5
1/5/2016 6:00,2272,-6.8,63,9.4,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,6
1/5/2016 7:00,2484,-6.9,63,8.8,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,7
1/5/2016 8:00,2607,-7,62,8.9,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,8
1/5/2016 9:00,2578,-7.2,61,7.6,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,9
1/5/2016 10:00,2532,-6.6,59,9.4,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,10
1/5/2016 11:00,2482,-5.3,52,9.4,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,11
1/5/2016 12:00,2405,-3.7,48,8.4,0,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,5,12
