Datetime,Electricity,Temperature,Relativehumidity,Windspeed,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,Month,d_1,d_2,d_3,d_4,d_5,d_6,d_7,Day,Month_Count,Day_Count_For_Week,Day_Count_For_Month,Hour
1/1/2018 0:00,12677.63,3,61,22.9,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,0
1/1/2018 1:00,11425.98,2.9,57,23.5,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,1
1/1/2018 2:00,11408.42,2.4,56,23.5,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,2
1/1/2018 3:00,11405.2,1.9,55,21.1,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,3
1/1/2018 4:00,11450.56,1.7,51,22.1,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,4
1/1/2018 5:00,11631.34,0.7,48,22.6,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,5
1/1/2018 6:00,11939.41,0.1,54,22.1,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,6
1/1/2018 7:00,12268.83,-0.2,51,25.4,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,7
1/1/2018 8:00,12422.88,-0.8,49,24.4,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,8
1/1/2018 9:00,12605.15,-0.9,46,24.1,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,9
1/1/2018 10:00,12852.52,-0.4,43,24.7,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,10
1/1/2018 11:00,12915.23,0.4,39,25,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,11
1/1/2018 12:00,12898.77,0.8,39,21.4,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,12
1/1/2018 13:00,12799.62,1.8,38,20.3,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,13
1/1/2018 14:00,12561.39,2.9,37,19.7,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,14
1/1/2018 15:00,12276.08,3.4,37,18.9,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,15
1/1/2018 16:00,12013.03,3.3,37,19.6,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,16
1/1/2018 17:00,12163.41,2.7,38,19.5,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,17
1/1/2018 18:00,12904.77,2.4,38,14.6,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,18
1/1/2018 19:00,13557.38,1.9,39,18,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,19
1/1/2018 20:00,13638.32,1.2,41,19.1,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,20
1/1/2018 21:00,13662.92,0.3,43,17.7,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,21
1/1/2018 22:00,13500.73,-0.3,44,17.2,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,22
1/1/2018 23:00,13104.63,-0.9,47,15.5,1,0,0,0,0,0,0,0,0,0,0,0,January,1,0,0,0,0,0,0,Monday,1,1,1,23
1/2/2018 0:00,13951.71,-1.1,48,15.9,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,0
1/2/2018 1:00,12954.54,-1.3,49,15.5,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,1
1/2/2018 2:00,12762.33,-1.4,47,16.1,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,2
1/2/2018 3:00,12672.32,-1.6,43,16.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,3
1/2/2018 4:00,12720.79,-1.9,39,15.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,4
1/2/2018 5:00,12982.67,-2.2,37,16,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,5
1/2/2018 6:00,13540.02,-1.6,40,12.2,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,6
1/2/2018 7:00,14259.42,-1.8,41,12.7,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,7
1/2/2018 8:00,14662.85,-1.9,42,13,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,8
1/2/2018 9:00,14847.38,-1.9,44,14.8,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,9
1/2/2018 10:00,15078.54,-1.8,45,15.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,10
1/2/2018 11:00,15249.14,-1.2,45,14.8,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,11
1/2/2018 12:00,15162.5,-0.6,44,12.2,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,12
1/2/2018 13:00,14982.16,-0.1,45,11.5,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,13
1/2/2018 14:00,14868.7,0.6,44,12.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,14
1/2/2018 15:00,14784.34,0.8,43,11.4,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,15
1/2/2018 16:00,14708.81,0.9,42,11.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,16
1/2/2018 17:00,14844.78,0.9,42,11.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,17
1/2/2018 18:00,15397.7,0.8,45,11.1,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,18
1/2/2018 19:00,15655.35,0.8,48,13.4,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,19
1/2/2018 20:00,15562.07,0.7,54,15.3,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,20
1/2/2018 21:00,15390.07,-0.2,62,17.7,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,21
1/2/2018 22:00,15016.04,-0.9,67,17.9,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,22
1/2/2018 23:00,14447.1,-1.4,69,17.1,1,0,0,0,0,0,0,0,0,0,0,0,January,0,1,0,0,0,0,0,Tuesday,1,2,2,23
1/3/2018 0:00,12810.95,-1.5,67,17.1,1,0,0,0,0,0,0,0,0,0,0,0,January,0,0,1,0,0,0,0,Wednesday,1,3,3,0
1/3/2018 1:00,13364.63,-1.4,61,16.9,1,0,0,0,0,0,0,0,0,0,0,0,January,0,0,1,0,0,0,0,Wednesday,1,3,3,1
1/3/2018 2:00,13252.1,-2.1,60,13.7,1,0,0,0,0,0,0,0,0,0,0,0,January,0,0,1,0,0,0,0,Wednesday,1,3,3,2
